 | He scrambled out of the broken car, adrenaline coursing through his veins. 
Dive in | The man on the roof calmly takes his shot, and the bullet finds its mark, sending the corrupt politician tumbling into the large fountain. 
Rush down | He grabs the nearest desk, flips it, and throws it through the large office window, and dives in after it. 
Don't trust her | They start walking toward the warehouse, a group of men step out of the shadows, with guns drawn.  
Don't look back | She runs, as fast as she can, through the jungle, while ignoring the feeling of something chasing her. 
Wave the flag | The kid with the cap and the dirty face held the large flag above his head, waiting for the world to end. 
Get out | They kicked in the door and charged into the house, weapons drawn, searching for the suspect. 
Turn it on | The hacker types a long string of code into the black terminal, and hits enter, and the computer springs to life. 
Ask for forgiveness | The priest bows his head, and with a shaking voice, begs for forgiveness, as he holds the bloodied knife in his hand. 
Stand up | She takes a deep breath and stands up from her seat, taking a moment to regather herself, before heading back into the fray. 
Go find the security guard | You hear a shout. "That’s the man! Stop him!"
Keep searching | Your flashlight reveals a body in the forest.
Hide the bag | You crouch behind a seat, trying to catch your breath.
Climb the tree | She pulled herself onto the branch, trembling.
Find the wire | He pushed aside the insulation and found the main circuit breaker.
Close the door | The scream echoed through the empty house.
Stop the bleeding | You wrapped the tourniquet around his arm and pressed down on the artery.
Try again | He put his hand on the doorknob and pushed with all his strength.
Look in the mirror | Her eyes widened at the sight of the scar.
Call the taxi | The phone was answered on the first ring.
Start the ignition | He turned the key, and the engine rumbled to life.
Check the doors | She opened the first drawer and pulled out a gun.
Eat breakfast | The toast was cold and dry, but he forced it down.
Listen to the voicemail | Her jaw clenched as she heard the words.
Enter the code | He entered 0500 and pressed Enter.
Get ready | She pulled on her jacket and tightened the straps of her helmet.
Look out the window | The sky was dark and the clouds rumbled with thunder.
Count the money | The stack of bills reached to the ceiling.
Keep him calm | The dog barked wildly, its paws scraping the glass.
Open the file | The report was much longer than expected.
